FORM 20,FINAL RESULT SHEET,ELECTION TO THE LEGISLATIVE ASSEMBLY 2023,MADHYA PRADESH
Constituency: Bhopal Madhya (153),Total Polling Stations: 160

Polling Station No.,Name of Polling Station,Dhruv Narayan Singh (BJP),Arif Masood (INC),Shailendra Shrivastava (BSP),Kapil Sharma (IND),NOTA,Total Valid Votes Polled,Rejected Votes,Tendered Votes
1,"Government Girls High School, East Wing, Jahangirabad",265,361,17,8,8,659,0,1
2,"Government Primary School Building, Room No 1, Aishbagh",224,380,31,19,8,662,3,0
3,"Subhash Higher Secondary School, Left Wing, Chola",313,567,47,13,8,948,2,0
4,"Municipal Corporation Office, Community Hall, Kamla Nagar",549,514,41,24,9,1137,2,0
5,"Subhash Higher Secondary School, Left Wing, Koh-e-Fiza",408,464,22,17,10,921,2,0
6,"Government Girls High School, East Wing, Arera Colony",373,232,36,21,8,670,3,1
7,"Subhash Higher Secondary School, Left Wing, MP Nagar",600,302,32,28,11,973,0,0
8,"Municipal Corporation Office, Community Hall, Habibganj",424,239,41,22,5,731,2,0
9,"Municipal Corporation Office, Community Hall, Shivaji Nagar",484,515,35,18,16,1068,2,0
10,"Subhash Higher Secondary School, Left Wing, Bairagarh",405,401,22,12,10,850,2,1
11,"Navin High School, Northern Building, Jahangirabad",271,515,33,10,4,833,0,0
12,"Sanjay Gandhi Memorial School, Room No 3, Aishbagh",392,587,36,28,9,1052,2,0
13,"Government Girls High School, East Wing, Chola",377,548,47,18,7,997,1,1
14,"Government Primary School Building, Room No 1, Kamla Nagar",507,518,64,36,11,1136,0,1
15,"Municipal Corporation Office, Community Hall, Koh-e-Fiza",324,322,42,27,10,725,2,1
16,"Government Primary School Building, Room No 1, Arera Colony",409,247,34,12,3,705,0,0
17,"Subhash Higher Secondary School, Left Wing, MP Nagar",576,409,55,15,10,1065,1,1
18,"Navin High School, Northern Building, Habibganj",642,414,57,18,9,1140,2,1
